SpinId,TotalBet,TotalWin,IsBonus,RunningRtp,WinCount
58787,20,5,False,0.4269915117287836,4
58788,20,8,False,0.42699105259576786,2
58789,20,0,False,0.42698378948442733,0
58790,20,8,False,0.4269833304983841,2
58791,20,0,False,0.4269760677654743,0
58792,20,12,False,0.42697901074976186,3
58793,20,0,False,0.4269717483373871,0
58794,20,0,False,0.4269644861720584,0
58795,20,0,False,0.4269572242537631,0
58796,20,1,False,0.4269508129804749,1
58797,20,0,False,0.42694355154174535,0
58798,20,0,False,0.4269362903500119,0
58799,20,0,False,0.426929029405262,0
58800,20,3,False,0.42692431972789113,1
58801,20,0,False,0.4269170592336865,0
58802,20,50,False,0.42695231454712423,2
58803,20,0,False,0.4269450538237845,0
58804,20,0,False,0.42693779334739135,0
58805,20,0,False,0.42693053311793216,0
58806,20,0,False,0.42692327313539435,0
58807,20,0,False,0.4269160133997653,0
58808,20,4,False,0.4269121548088695,2
58809,20,0,False,0.42690489550919075,0
58810,20,0,False,0.42689763645638495,0
58811,20,0,False,0.4268903776504395,0
58812,20,0,False,0.4268831190913419,0
58813,20,9,False,0.4268835121486746,3
58814,20,0,False,0.4268762539531404,0
58815,20,19,False,0.42688514834651026,5
58816,20,0,False,0.42687789036996737,0
58817,20,0,False,0.42687063264022307,0
58818,20,0,False,0.4268633751572648,0
58819,20,0,False,0.4268561179210799,0
58820,20,0,False,0.4268488609316559,0
